path,label,group_id
vision/images/Potato___healthy/synth_007.jpg,Potato___healthy,plant_2
vision/images/Potato___healthy/synth_008.jpg,Potato___healthy,plant_2
vision/images/Potato___healthy/synth_009.jpg,Potato___healthy,plant_3
vision/images/Tomato_Bacterial_spot/synth_000.jpg,Tomato_Bacterial_spot,plant_0
vision/images/Tomato_Bacterial_spot/synth_001.jpg,Tomato_Bacterial_spot,plant_0
vision/images/Tomato_Bacterial_spot/synth_002.jpg,Tomato_Bacterial_spot,plant_0
vision/images/Tomato_Bacterial_spot/synth_003.jpg,Tomato_Bacterial_spot,plant_1
vision/images/Tomato_Bacterial_spot/synth_004.jpg,Tomato_Bacterial_spot,plant_1
vision/images/Tomato_Bacterial_spot/synth_005.jpg,Tomato_Bacterial_spot,plant_1
vision/images/Tomato_Bacterial_spot/synth_006.jpg,Tomato_Bacterial_spot,plant_2
vision/images/Tomato_Bacterial_spot/synth_007.jpg,Tomato_Bacterial_spot,plant_2
vision/images/Tomato_Bacterial_spot/synth_008.jpg,Tomato_Bacterial_spot,plant_2
vision/images/Tomato_Bacterial_spot/synth_009.jpg,Tomato_Bacterial_spot,plant_3
vision/images/Tomato_Early_blight/synth_000.jpg,Tomato_Early_blight,plant_0
vision/images/Tomato_Early_blight/synth_001.jpg,Tomato_Early_blight,plant_0
vision/images/Tomato_Early_blight/synth_002.jpg,Tomato_Early_blight,plant_0
vision/images/Tomato_Early_blight/synth_003.jpg,Tomato_Early_blight,plant_1
vision/images/Tomato_Early_blight/synth_004.jpg,Tomato_Early_blight,plant_1
vision/images/Tomato_Early_blight/synth_005.jpg,Tomato_Early_blight,plant_1
vision/images/Tomato_Early_blight/synth_006.jpg,Tomato_Early_blight,plant_2
vision/images/Tomato_Early_blight/synth_007.jpg,Tomato_Early_blight,plant_2
vision/images/Tomato_Early_blight/synth_008.jpg,Tomato_Early_blight,plant_2
vision/images/Tomato_Early_blight/synth_009.jpg,Tomato_Early_blight,plant_3
vision/images/Tomato_Late_blight/synth_000.jpg,Tomato_Late_blight,plant_0
vision/images/Tomato_Late_blight/synth_001.jpg,Tomato_Late_blight,plant_0
vision/images/Tomato_Late_blight/synth_002.jpg,Tomato_Late_blight,plant_0
vision/images/Tomato_Late_blight/synth_003.jpg,Tomato_Late_blight,plant_1
vision/images/Tomato_Late_blight/synth_004.jpg,Tomato_Late_blight,plant_1
vision/images/Tomato_Late_blight/synth_005.jpg,Tomato_Late_blight,plant_1
vision/images/Tomato_Late_blight/synth_006.jpg,Tomato_Late_blight,plant_2
vision/images/Tomato_Late_blight/synth_007.jpg,Tomato_Late_blight,plant_2
vision/images/Tomato_Late_blight/synth_008.jpg,Tomato_Late_blight,plant_2
vision/images/Tomato_Late_blight/synth_009.jpg,Tomato_Late_blight,plant_3
vision/images/Tomato_Leaf_Mold/synth_000.jpg,Tomato_Leaf_Mold,plant_0
vision/images/Tomato_Leaf_Mold/synth_001.jpg,Tomato_Leaf_Mold,plant_0
vision/images/Tomato_Leaf_Mold/synth_002.jpg,Tomato_Leaf_Mold,plant_0
vision/images/Tomato_Leaf_Mold/synth_003.jpg,Tomato_Leaf_Mold,plant_1
vision/images/Tomato_Leaf_Mold/synth_004.jpg,Tomato_Leaf_Mold,plant_1
vision/images/Tomato_Leaf_Mold/synth_005.jpg,Tomato_Leaf_Mold,plant_1
vision/images/Tomato_Leaf_Mold/synth_006.jpg,Tomato_Leaf_Mold,plant_2
vision/images/Tomato_Leaf_Mold/synth_007.jpg,Tomato_Leaf_Mold,plant_2
vision/images/Tomato_Leaf_Mold/synth_008.jpg,Tomato_Leaf_Mold,plant_2
vision/images/Tomato_Leaf_Mold/synth_009.jpg,Tomato_Leaf_Mold,plant_3
vision/images/Tomato_Septoria_leaf_spot/synth_000.jpg,Tomato_Septoria_leaf_spot,plant_0
vision/images/Tomato_Septoria_leaf_spot/synth_001.jpg,Tomato_Septoria_leaf_spot,plant_0
vision/images/Tomato_Septoria_leaf_spot/synth_002.jpg,Tomato_Septoria_leaf_spot,plant_0
vision/images/Tomato_Septoria_leaf_spot/synth_003.jpg,Tomato_Septoria_leaf_spot,plant_1
vision/images/Tomato_Septoria_leaf_spot/synth_004.jpg,Tomato_Septoria_leaf_spot,plant_1
vision/images/Tomato_Septoria_leaf_spot/synth_005.jpg,Tomato_Septoria_leaf_spot,plant_1
vision/images/Tomato_Septoria_leaf_spot/synth_006.jpg,Tomato_Septoria_leaf_spot,plant_2
vision/images/Tomato_Septoria_leaf_spot/synth_007.jpg,Tomato_Septoria_leaf_spot,plant_2
vision/images/Tomato_Septoria_leaf_spot/synth_008.jpg,Tomato_Septoria_leaf_spot,plant_2
vision/images/Tomato_Septoria_leaf_spot/synth_009.jpg,Tomato_Septoria_leaf_spot,plant_3
